LOC_ID	Region	APORT_NAME	CITY	STATE	FAC_TYPE	ATCT_FLAG	HUB_SIZE	SYSYEAR	SCENARIO	AC	COMMUTER	T_ENPL	ITN_AC	ITN_AT	ATN_GA	_ITN_MIL	T_ITN	LOC_GA	LOC_MIL	T_LOC	T_AOPS	T_TROPS	TOT_BA
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2036	1	0	52	52	7480	17622	12783	6457	44342	44100	7393	51493	95835	51216	55
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2037	1	0	52	52	7480	17799	12860	6457	44596	44232	7393	51625	96221	51533	55
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2038	1	0	52	52	7480	17977	12938	6457	44852	44364	7393	51757	96609	51845	55
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2039	1	0	52	52	7480	18158	13016	6457	45111	44497	7393	51890	97001	52168	56
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2040	1	0	52	52	7480	18339	13095	6457	45371	44630	7393	52023	97394	52494	56
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2041	1	0	52	52	7480	18523	13175	6457	45635	44763	7393	52156	97791	52827	57
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2042	1	0	52	52	7480	18709	13254	6457	45900	44897	7393	52290	98190	53161	57
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2043	1	0	52	52	7480	18896	13334	6457	46167	45031	7393	52424	98591	53497	57
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2044	1	0	52	52	7480	19085	13415	6457	46437	45166	7393	52559	98996	53842	58
MWH 	ANM	Moses Lake/Grant Co Int`l	MOSES LAKE	WA	3	1	N	2045	1	0	52	52	7480	19275	13496	6457	46708	45301	7393	52694	99402	54194	58
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	1990	0	86	2	88	2725	1070	51981	2659	58435	66765	1742	68507	126942	0	473
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	1991	0	304	10	314	3527	1430	64792	3615	73364	81204	2124	83328	156692	0	472
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	1992	0	8	0	8	3115	1485	74524	3893	83017	88510	2370	90880	173897	0	497
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	1993	0	155	0	155	2833	1375	83702	3389	91299	102691	1680	104371	195670	0	497
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	1994	0	80	0	80	2733	1421	86822	3373	94349	98647	2519	101166	195515	0	429
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	1995	0	0	0	0	3541	1557	72744	3201	81043	88009	2402	90411	171454	0	471
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	1996	0	65	0	65	3364	3276	67200	3144	76984	77720	1721	79441	156425	0	0
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	1997	0	209	0	209	3761	3037	76959	1034	84791	93846	710	94556	179347	0	464
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	1998	0	66	0	66	3653	3090	85593	974	93310	100391	750	101141	194451	0	464
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	1999	0	0	0	0	4090	4322	87399	1796	97607	102842	474	103316	200923	0	483
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2000	0	195	0	195	3538	3863	102328	1249	110978	97403	1116	98519	209497	0	475
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2001	0	109	0	109	3830	4663	102310	951	111754	100582	223	100805	212559	0	490
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2002	0	95	0	95	3553	3565	91429	878	99425	98874	202	99076	198501	0	504
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2003	0	122	0	122	3085	3559	89166	890	96700	84789	559	85348	182048	0	519
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2004	0	182	0	182	1927	3183	65063	595	70768	59341	159	59500	130268	0	512
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2005	0	368	0	368	2136	3720	72560	688	79104	73099	301	73400	152504	0	576
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2006	0	312	0	312	2122	3274	68990	605	74991	66896	197	67093	142084	0	576
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2007	0	351	5	356	2215	2825	61484	527	67051	64357	428	64785	131836	0	615
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2008	0	257	3	260	2652	2732	65045	599	71028	70777	188	70965	141993	0	519
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2009	0	120	65	185	2774	2605	55864	546	61789	52136	172	52308	114097	0	647
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2010	0	230	45	275	3742	2217	53638	623	60220	51324	209	51533	111753	0	646
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2011	0	149	25	174	4710	2345	51917	848	59820	50429	352	50781	110601	0	467
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2012	0	311	55	366	4360	1613	50943	823	57739	54077	353	54430	112169	0	500
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2013	0	85	17	102	3905	1480	48347	618	54350	50020	291	50311	104661	0	550
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2014	0	0	52	52	4570	1412	48718	562	55262	58336	576	58912	114174	0	550
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2015	0	60	23	83	4535	1298	52343	711	58887	57173	284	57457	116344	0	566
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2016	0	92	53	145	3772	1439	50888	562	56661	49923	382	50305	106966	0	564
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2017	0	533	0	533	3722	1158	46919	344	52143	50554	270	50824	102967	0	530
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2018	0	2990	5	2995	3047	1137	53092	356	57632	57503	274	57777	115409	0	529
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2019	0	51	265606	265657	10721	1239	56966	395	69321	59728	447	60175	129496	0	476
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2020	0	23	225959	225982	9528	1589	49067	613	60797	58730	640	59370	120167	0	510
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2021	1	0	100409	100409	5216	1553	56755	556	64080	78156	734	78890	142970	0	513
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2022	1	12	181449	181461	9098	1534	61606	556	72794	78234	734	78968	151762	0	515
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2023	1	37	333816	333853	16685	1554	61823	556	80618	78312	734	79046	159664	0	518
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2024	1	51	521871	521922	26456	1574	62041	556	90627	78390	734	79124	169751	0	521
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2025	1	54	606447	606501	31413	1591	62260	556	95820	78468	734	79202	175022	0	524
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2026	1	56	615478	615534	31709	1607	62480	556	96352	78546	734	79280	175632	0	527
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2027	1	58	625172	625230	32035	1623	62700	556	96914	78625	734	79359	176273	0	530
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2028	1	60	634844	634904	32360	1640	62921	556	97477	78703	734	79437	176914	0	533
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2029	1	62	643934	643996	32651	1656	63143	556	98006	78782	734	79516	177522	0	536
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2030	1	64	652797	652861	32924	1673	63366	556	98519	78860	734	79594	178113	0	539
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2031	1	66	661654	661720	33195	1689	63590	556	99030	78939	734	79673	178703	0	542
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2032	1	68	670435	670503	33456	1706	63814	556	99532	79017	734	79751	179283	0	545
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2033	1	70	679228	679298	33715	1723	64039	556	100033	79096	734	79830	179863	0	548
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2034	1	72	688151	688223	33975	1741	64265	556	100537	79175	734	79909	180446	0	551
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2035	1	74	697291	697365	34243	1758	64492	556	101049	79254	734	79988	181037	0	554
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2036	1	76	706404	706480	34507	1776	64719	556	101558	79333	734	80067	181625	0	557
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2037	1	78	715250	715328	34755	1794	64948	556	102053	79412	734	80146	182199	0	560
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2038	1	80	723857	723937	34989	1812	65177	556	102534	79491	734	80225	182759	0	563
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2039	1	82	732446	732528	35215	1830	65407	556	103008	79571	734	80305	183313	0	566
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2040	1	84	741309	741393	35453	1848	65637	556	103494	79650	734	80384	183878	0	569
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2041	1	86	750352	750438	35696	1867	65869	556	103988	79729	734	80463	184451	0	572
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2042	1	88	759401	759489	35936	1885	66101	556	104478	79809	734	80543	185021	0	575
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2043	1	90	768639	768729	36181	1904	66335	556	104976	79888	734	80622	185598	0	578
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2044	1	92	778086	778178	36433	1923	66569	556	105481	79968	734	80702	186183	0	581
PAE 	ANM	Everett Paine Field	EVERETT	WA	7	1	N	2045	1	94	787736	787830	36694	1943	66803	556	105996	80048	734	80782	186778	0	584
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	1990	0	7096865	655312	7752177	191456	150399	10985	305	353145	351	6	357	353502	0	4
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	1991	0	7433834	907032	8340866	187270	144209	8432	293	340204	201	6	207	340411	0	21
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	1992	0	8120436	899275	9019711	194776	141933	9066	312	346087	93	0	93	346180	0	6
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	1993	0	8275882	983054	9258936	197955	133666	7893	299	339813	153	2	155	339968	0	6
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	1994	0	9067584	1148436	10216020	208259	128606	7767	249	344881	171	0	171	345052	0	6
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	1995	0	9908575	1280065	11188640	223295	148434	9733	555	382017	83	0	83	382100	0	6
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	1996	0	10487597	1281314	11768911	238421	151262	7551	263	397497	91	3	94	397591	0	0
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	1997	0	10763476	1302929	12066405	240979	134019	5780	70	380848	117	0	117	380965	0	6
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	1998	0	11141894	1325609	12467503	216636	177989	5420	130	400175	40	0	40	400215	0	6
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	1999	0	11795944	1894042	13689986	231994	193286	5236	45	430561	11	0	11	430572	0	6
SEA 	ANM	Seattle Tacoma Int`l	SEATTLE	WA	7	1	L	2000	0	12204115	1649184	13853299	236364	202587	5516	103	444570	60	0	60	444630	0	6
